CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
TQRMNOSYPHJKKOCDEIOAH00698716,2021,4,2,1,43,N,38,176,1,,99,1,,2,2,1,1,,1,1,1,1,2,2,2,5,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,53000,3,4.0,4,,4.0,4,26500.0,5,5.0,5,,5.0,5,241,97,0,98,0,0,0
TQRMNORVSHLOKPCDEGIBJ00715895,2021,4,1,1,41,N,12,286,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,90000,6,7.0,8,,7.0,7,45000.0,8,8.0,9,,8.0,9,287,1,2,98,0,0,0
TQRMNORYWHMOKNCDEGIBJ00710708,2021,4,1,1,41,N,12,275,2,,1,1,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,3,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,25000,1,1.0,1,,1.0,1,25000.0,4,5.0,6,,5.0,5,278,1,0,98,0,0,0
TQRMNOQPRHKOKOCDEGIBJ00661003,2021,4,2,1,41,N,12,240,1,,3,2,,4,2,1,1,,1,2,2,1,1,1,2,1,1,2,0,2,2,2,0,0,0,0,2,,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,62000,4,5.0,5,,5.0,4,62000.0,9,9.0,10,,9.0,10,233,1,0,98,0,0,0
TQRMNOSQTHKOKOCDEGIBJ00661004,2021,4,1,1,41,N,12,288,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,6,0,6,66600,5,5.0,6,,5.0,5,11100.0,1,2.0,2,,2.0,2,289,1,6,5,0,0,0
TQRMNOPXYHKMKQCDEGIBJ00660893,2021,4,2,1,41,N,12,345,1,,4,2,,4,1,1,1,,1,1,1,1,1,2,2,1,1,2,0,1,1,2,2,0,2,0,6,,2,,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,25500,1,1.0,2,,1.0,1,8500.0,1,1.0,1,,1.0,1,348,2,0,98,0,0,0
TQRMNOSQXHMMKOCDEGIBJ00715896,2021,4,1,1,41,N,12,255,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,2,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,1,3,78000,5,6.0,7,,6.0,6,19500.0,3,4.0,5,,4.0,4,262,1,2,98,0,0,0
TQRMNORVYHLMKRCDEGIBJ00715897,2021,4,1,1,41,N,12,275,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,45000,3,3.0,4,,3.0,3,45000.0,8,8.0,9,,8.0,9,277,1,0,98,0,0,0
TQRMNOPQPHLOKSCDEGIBJ00715898,2021,4,1,1,41,N,12,236,1,,2,2,,4,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,39000,2,2.0,3,,2.0,2,39000.0,7,7.0,8,,7.0,8,234,1,0,98,0,0,0
TQRMNORVYHJOKRCDEGIBJ00674129,2021,4,1,1,41,N,12,287,1,,2,1,,2,1,1,1,,1,1,1,1,2,1,2,2,1,2,0,1,2,1,2,0,2,0,6,,2,,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,1,26400,1,1.0,2,,1.0,1,26400.0,5,5.0,7,,5.0,6,294,1,0,98,0,0,0
TQRMNORWQHJOKRCDEGIBJ00698264,2021,4,1,1,41,N,12,319,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,6,1,5,124000,8,8.0,9,,9.0,9,20666.67,4,4.0,5,,4.0,4,302,3,0,1,2,0,0
TQRMNOQUTHKMKRCDEGIBJ00674195,2021,4,1,1,41,N,12,194,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,105000,7,8.0,9,,8.0,8,105000.0,10,10.0,10,,10.0,10,191,1,0,98,0,0,0
TQRMNOSVYHJNKSCDEOHCH00696862,2021,4,1,1,44,N,91,100,1,,1,1,,2,1,2,1,,1,1,2,2,2,2,2,1,1,2,0,1,2,2,2,0,2,0,4,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,57000,4,4.0,2,,4.0,3,57000.0,9,9.0,8,,9.0,8,103,1,0,98,0,0,0
TQRMNOPTVHKOKTCDEOHCH00664053,2021,4,1,1,44,N,91,115,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,5,0,5,83000,6,6.0,5,,6.0,5,16600.0,3,3.0,2,,3.0,2,110,1,0,98,0,0,0
TQRMNOPRUHLLKTCDEOHCH00720183,2021,4,1,1,44,N,91,106,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,51000,3,4.0,2,,4.0,2,25500.0,5,5.0,3,,5.0,4,108,2,1,98,0,0,0
TQRMNORSWHLLKTCDEOHCH00720184,2021,4,1,1,44,N,91,106,1,,2,1,,9,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,140000,8,9.0,7,,9.0,8,70000.0,9,9.0,8,,10.0,8,111,1,2,98,0,0,0
TQRMNOPQUHKMLMCDEOHCH00696959,2021,4,1,1,44,N,91,120,1,,3,1,,2,2,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,115000,8,8.0,6,,8.0,7,57500.0,9,9.0,8,,9.0,8,126,2,1,98,0,0,0
TQRMNOPSRHLMKUCDEOHCH00720185,2021,4,1,1,44,N,91,115,1,,4,1,,4,1,1,1,,1,1,1,1,1,2,2,4,3,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,3,0,3,65900,5,5.0,3,,5.0,4,21966.67,4,4.0,3,,4.0,3,118,1,2,98,0,0,0
TQRMNOPVXHJMLLCDEOHCH00720186,2021,4,1,1,44,N,91,124,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,1,2,82000,6,6.0,4,,6.0,5,27333.33,5,6.0,4,,6.0,4,129,2,0,98,0,0,0
TQRMNOPQXHLMLLCDEOHCH00720187,2021,4,1,1,44,N,91,107,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,105000,7,8.0,6,,8.0,7,52500.0,8,9.0,7,,9.0,7,108,2,1,98,0,0,0
